,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,Income
0,39,0,0,13,0,0,0,0,0,2174,0,40,0
1,50,1,0,13,1,1,1,0,0,0,0,13,0
2,38,2,1,9,2,2,0,0,0,0,0,40,0
3,53,2,2,7,1,2,1,1,0,0,0,40,0
4,28,2,0,13,1,3,2,1,1,0,0,40,0
5,37,2,3,14,1,1,2,0,1,0,0,40,0
6,49,2,4,5,3,4,0,1,1,0,0,16,0
7,52,1,1,9,1,1,1,0,0,0,0,45,1
8,31,2,3,14,0,3,0,0,1,14084,0,50,1
9,42,2,0,13,1,1,1,0,0,5178,0,40,1
10,37,2,5,10,1,1,1,1,0,0,0,80,1
11,30,0,0,13,1,3,1,2,0,0,0,40,1
12,23,2,0,13,0,0,3,0,1,0,0,30,0
13,32,2,6,12,0,5,0,1,0,0,0,50,0
14,40,2,7,11,1,6,1,2,0,0,0,40,1
15,34,2,8,4,1,7,1,3,0,0,0,45,0
16,25,1,1,9,0,8,3,0,0,0,0,35,0
17,32,2,1,9,0,9,4,0,0,0,0,40,0
18,38,2,2,7,1,5,1,0,0,0,0,50,0
19,43,1,3,14,2,1,4,0,1,0,0,45,1
20,40,2,9,16,1,3,1,0,0,0,0,60,1
21,54,2,1,9,4,4,4,1,1,0,0,20,0
22,35,3,4,5,1,8,1,1,0,0,0,40,0
23,43,2,2,7,1,7,1,0,0,0,2042,40,0
24,59,2,1,9,2,10,4,0,1,0,0,40,0
25,56,4,0,13,1,10,1,0,0,0,0,40,1
26,19,2,1,9,0,6,3,0,0,0,0,40,0
27,39,2,1,9,2,1,0,0,0,0,0,80,0
28,49,2,1,9,1,6,1,0,0,0,0,40,0
29,23,4,6,12,0,11,0,0,0,0,0,52,0
30,20,2,5,10,0,5,3,1,0,0,0,44,0
31,45,2,0,13,2,1,3,0,0,0,1408,40,0
32,30,3,5,10,1,0,3,0,0,0,0,40,0
33,22,0,5,10,1,4,1,1,0,0,0,15,0
34,48,2,2,7,0,9,4,0,0,0,0,40,0
